Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Year
1,Boston Celtics,27.4,59,23,59,23,8.38,0.22,8.6,121.5,113.1,8.4,98.8,0.253,0.478,0.63,0.592,12.1,19.1,0.215,0.531,11.4,77.2,0.195,2023
2,Phoenix Suns,27.7,57,25,57,25,6.8,-0.72,6.08,117.1,110.2,6.9,97.6,0.227,0.363,0.576,0.542,11.8,27.2,0.184,0.526,14.4,75.1,0.229,2023
3,Cleveland Cavaliers,25.6,55,27,55,27,5.9,0.03,5.94,114.9,108.9,6,95.9,0.288,0.37,0.587,0.545,13.3,24.9,0.233,0.527,13.4,78.9,0.208,2023
4,New Orleans Pelicans,25.9,53,29,53,29,5.45,-0.13,5.32,115.5,110.1,5.4,99.4,0.261,0.338,0.583,0.548,12.9,26.6,0.205,0.532,14.3,76.4,0.198,2023
5,Milwaukee Bucks,29.5,52,30,52,30,4.84,-0.61,4.23,111.9,107,4.9,99.5,0.268,0.417,0.56,0.53,13.2,26.3,0.192,0.514,12.2,79.4,0.181,2023
6,Philadelphia 76ers,28.2,51,31,51,31,3.67,0.13,3.8,112.5,108.8,3.7,97.2,0.281,0.39,0.589,0.548,13.2,20,0.227,0.527,14.2,77.4,0.209,2023
7,Toronto Raptors,25.8,45,37,45,37,2.3,0.38,2.68,113.5,111.1,2.4,97.1,0.266,0.359,0.545,0.504,11.3,29.5,0.209,0.552,15.8,76.9,0.22,2023
8,Dallas Mavericks,28.1,45,37,45,37,1.8,0.75,2.55,113.3,111.4,1.9,95.6,0.308,0.476,0.582,0.549,12.1,18.9,0.224,0.543,14.5,76.3,0.223,2023
9,Sacramento Kings,25.4,43,39,43,39,1.63,-0.44,1.19,116.4,114.8,1.6,101.7,0.284,0.427,0.608,0.571,13.4,19.8,0.226,0.563,13.1,79.3,0.21,2023
10,Denver Nuggets,26.8,45,37,45,37,1.45,-1.56,-0.11,116.2,114.7,1.5,98.7,0.254,0.354,0.596,0.567,13.6,25.3,0.192,0.56,12.5,78.8,0.2,2023
11,Indiana Pacers,24.2,45,37,45,37,1.4,-1.48,-0.08,113.8,112.4,1.4,101.7,0.266,0.453,0.573,0.534,13.3,24.5,0.213,0.534,13.8,74.5,0.238,2023
12,Memphis Grizzlies,24.6,45,37,45,37,1.4,0,1.4,114.6,113.2,1.4,99.9,0.267,0.369,0.557,0.53,12.1,29.7,0.186,0.54,12.6,76.1,0.199,2023
13,Utah Jazz,27,43,39,43,39,1.17,-0.15,1.03,115.9,114.8,1.1,99.8,0.238,0.44,0.584,0.554,13.5,27.2,0.184,0.533,12.4,72.3,0.204,2023
14,Brooklyn Nets,28.7,45,37,45,37,0.73,0.55,1.28,113.2,112.5,0.7,98,0.254,0.389,0.604,0.57,13.8,18.6,0.203,0.518,12.5,73.3,0.211,2023
15,Chicago Bulls,28,41,41,41,41,0.25,1.73,1.98,111.5,111.2,0.3,99.9,0.262,0.332,0.573,0.53,13.1,23,0.218,0.547,14.4,78.7,0.209,2023
16,Golden State Warriors,27.6,41,41,41,41,0.32,-0.3,0.02,113.9,113.6,0.3,102.7,0.212,0.48,0.602,0.573,14.9,21.7,0.17,0.532,13.1,74.7,0.237,2023
17,Los Angeles Clippers,29.6,41,41,41,41,-0.09,-1.44,-1.53,108.8,108.8,0,98.3,0.279,0.382,0.578,0.546,14.8,20.2,0.206,0.514,12,76.6,0.172,2023
18,Atlanta Hawks,25.1,39,43,39,43,-0.38,0.69,0.31,111.3,111.7,-0.4,100.8,0.238,0.319,0.555,0.514,11.5,23.7,0.197,0.524,13.2,75,0.234,2023
19,Miami Heat,28,39,43,39,43,-0.48,0.87,0.4,110.1,110.6,-0.5,97.5,0.275,0.41,0.564,0.516,12.7,21.6,0.233,0.546,14.5,76.9,0.172,2023
20,New York Knicks,25.1,39,43,39,43,-0.76,-0.23,-0.99,113.9,114.6,-0.7,100.2,0.271,0.375,0.56,0.518,11.7,27,0.217,0.533,12.3,73.3,0.21,2023
21,Portland Trail Blazers,25.4,39,43,39,43,-0.86,0.71,-0.15,112.8,113.6,-0.8,96.4,0.311,0.382,0.579,0.539,14,25.2,0.239,0.54,12.8,76,0.202,2023
22,Washington Wizards,26.6,39,43,39,43,-0.9,0.86,-0.05,111.6,112.5,-0.9,98.1,0.245,0.369,0.571,0.537,12.2,21.3,0.191,0.522,11.6,77.2,0.207,2023
23,Minnesota Timberwolves,25.6,39,43,39,43,-1.33,-1.33,-2.67,111.9,113.2,-1.3,101.9,0.28,0.389,0.584,0.545,14.4,23.3,0.221,0.534,12.9,74.2,0.203,2023
24,Oklahoma City Thunder,22.8,35,47,35,47,-1.81,0.11,-1.7,111.5,113.2,-1.7,101.4,0.228,0.367,0.555,0.521,11.8,24.8,0.18,0.537,14.7,72,0.223,2023
25,Los Angeles Lakers,28.4,35,47,35,47,-2.21,-1.25,-3.46,108.8,111,-2.2,102.6,0.29,0.34,0.564,0.519,13.4,21,0.234,0.521,11.5,75.9,0.173,2023
26,Orlando Magic,23.1,27,55,27,55,-5.57,0.38,-5.19,109.6,115.2,-5.6,98.4,0.291,0.378,0.573,0.532,14.8,24.7,0.228,0.548,12.3,76.7,0.197,2023
27,Charlotte Hornets,25.9,27,55,27,55,-6.19,0.26,-5.93,106.8,112.8,-6,99.8,0.241,0.351,0.533,0.502,13.1,26.6,0.175,0.537,13.5,74.8,0.21,2023
28,Houston Rockets,22.5,25,57,25,57,-6.1,0.52,-5.58,110,116.1,-6.1,100.3,0.292,0.409,0.557,0.515,15.5,30.3,0.227,0.553,13,74.4,0.211,2023
29,Detroit Pistons,24.1,21,61,21,61,-8.61,1.48,-7.13,109.9,118.6,-8.7,99.3,0.309,0.37,0.55,0.504,12.7,24.9,0.24,0.551,12.1,72.6,0.227,2023
30,San Antonio Spurs,24.3,20,62,20,62,-10.43,-0.34,-10.77,108.3,118.5,-10.2,101.7,0.217,0.374,0.553,0.527,14.3,26.2,0.156,0.585,13.9,75.8,0.194,2023
