iter	Passed	Remaining
0	46	51539
1	91	50179
2	136	49833
3	181	49687
4	224	49272
5	268	49033
6	312	48836
7	357	48775
8	401	48724
9	445	48560
10	490	48559
11	535	48553
12	579	48453
13	623	48379
14	667	48300
15	712	48251
16	756	48176
17	800	48101
18	846	48142
19	877	47361
20	921	47328
21	964	47241
22	1008	47218
23	1051	47123
24	1093	47003
25	1135	46893
26	1177	46810
27	1222	46789
28	1266	46764
29	1314	46875
30	1358	46838
31	1401	46779
32	1445	46738
33	1490	46733
34	1518	46215
35	1562	46190
36	1597	45891
37	1642	45891
38	1686	45876
39	1720	45592
40	1757	45382
41	1787	45037
42	1831	45032
43	1874	44995
44	1915	44913
45	1959	44904
46	1995	44699
47	2023	44354
48	2052	44013
49	2096	44023
50	2140	44034
51	2185	44038
52	2230	44054
53	2260	43795
54	2305	43797
55	2348	43774
56	2391	43753
57	2435	43761
58	2479	43755
59	2524	43750
60	2568	43742
61	2611	43729
62	2656	43732
63	2701	43737
64	2746	43730
65	2790	43723
66	2834	43709
67	2878	43686
68	2922	43666
69	2966	43648
70	3011	43643
71	3045	43488
72	3087	43437
73	3129	43383
74	3172	43362
75	3217	43350
76	3261	43333
77	3303	43280
78	3333	43085
79	3377	43059
80	3420	43034
81	3451	42843
82	3493	42806
83	3536	42778
84	3580	42759
85	3624	42736
86	3659	42610
87	3703	42588
88	3745	42543
89	3788	42519
90	3833	42504
91	3878	42490
92	3921	42464
93	3965	42441
94	4011	42433
95	4055	42413
96	4086	42254
97	4130	42232
98	4177	42241
99	4221	42219
100	4250	42037
101	4294	42019
102	4328	41900
103	4373	41883
104	4404	41737
105	4448	41716
106	4493	41696
107	4537	41675
108	4580	41646
109	4615	41536
110	4656	41491
111	4700	41461
112	4727	41295
113	4772	41278
114	4817	41264
115	4861	41242
116	4905	41218
117	4948	41183
118	4992	41152
119	5036	41131
120	5079	41099
121	5123	41071
122	5167	41043
123	5210	41015
124	5254	40986
125	5296	40940
126	5340	40918
127	5384	40892
128	5429	40870
129	5474	40848
130	5524	40861
131	5567	40829
132	5610	40789
133	5653	40758
134	5688	40660
135	5732	40631
136	5776	40607
137	5824	40604
138	5869	40580
139	5915	40561
140	5959	40534
141	6004	40511
142	6048	40481
143	6093	40451
144	6136	40419
145	6180	40387
146	6223	40348
147	6267	40315
148	6311	40285
149	6355	40249
150	6397	40205
151	6441	40175
152	6487	40154
153	6530	40116
154	6574	40082
155	6608	39991
156	6656	39979
157	6699	39944
158	6744	39913
159	6787	39875
160	6830	39838
161	6861	39731
162	6906	39704
163	6952	39677
164	6997	39651
165	7042	39622
166	7085	39588
167	7129	39552
168	7173	39520
169	7217	39486
170	7260	39442
171	7303	39406
172	7348	39374
173	7391	39337
174	7426	39254
175	7471	39227
176	7516	39198
177	7559	39154
178	7593	39071
179	7637	39037
180	7681	39002
181	7724	38961
182	7769	38930
183	7804	38851
184	7848	38819
185	7893	38786
186	7937	38752
187	7983	38730
188	8028	38697
189	8072	38664
190	8116	38629
191	8151	38550
192	8195	38515
193	8240	38482
194	8285	38454
195	8329	38417
196	8373	38382
197	8418	38349
198	8464	38323
199	8509	38293
200	8554	38260
201	8597	38222
202	8645	38201
203	8688	38162
204	8733	38130
205	8777	38091
206	8821	38056
207	8865	38020
208	8911	37990
209	8956	37958
210	8999	37918
211	9045	37886
212	9090	37854
213	9111	37721
214	9155	37687
215	9199	37650
216	9243	37613
217	9287	37576
218	9332	37541
219	9375	37501
220	9421	37471
221	9467	37444
222	9512	37410
223	9557	37375
224	9602	37341
225	9647	37309
226	9691	37271
227	9735	37233
228	9780	37199
229	9824	37163
230	9845	37039
231	9890	37005
