Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,Year
1,Cleveland Cavaliers,26,8,2,8,2,10.9,-0.35,10.55,116,105.2,10.8,97.2,0.283,0.387,0.595,0.555,13.5,24.3,0.229,0.514,13.7,81,0.206,2023
2,Phoenix Suns,28.2,7,3,8,2,8.9,0.07,8.97,115.7,106.5,9.2,96.2,0.268,0.368,0.58,0.539,12.4,24.8,0.218,0.504,14.7,74.3,0.233,2023
3,Milwaukee Bucks,29.9,9,1,8,2,8.7,-2.09,6.61,111.1,102.4,8.7,100.3,0.26,0.437,0.556,0.524,13.1,26.6,0.191,0.487,12.6,79.5,0.173,2023
4,Utah Jazz,27.3,9,3,8,4,6.08,-1.79,4.29,116.2,110.2,6,100,0.236,0.438,0.585,0.555,13.7,27.9,0.182,0.523,13.8,72.3,0.204,2023
5,Dallas Mavericks,28.2,6,3,6,3,5.56,2.38,7.93,116.9,111.1,5.8,94.5,0.345,0.444,0.597,0.558,13.2,23.7,0.26,0.528,13.8,74.7,0.224,2023
6,Toronto Raptors,25.3,6,5,7,4,5.36,2.66,8.02,114.7,109.2,5.5,97.5,0.262,0.376,0.559,0.523,10.8,25.8,0.201,0.544,15.6,78.8,0.214,2023
7,New Orleans Pelicans,26.1,5,5,6,4,3.9,-0.04,3.86,115.8,112,3.8,99.2,0.243,0.306,0.572,0.541,12.1,28.5,0.184,0.535,13.6,76.1,0.2,2023
8,Boston Celtics,27.6,7,3,6,4,3.4,2.8,6.2,117.5,114.1,3.4,98.2,0.282,0.471,0.613,0.568,12.6,18.4,0.241,0.534,11.2,77.3,0.198,2023
9,Atlanta Hawks,25.4,7,3,6,4,2.9,-0.95,1.95,113.8,111,2.8,101.3,0.22,0.315,0.56,0.524,10.5,23.7,0.18,0.509,12.3,72.9,0.224,2023
10,Denver Nuggets,26.9,7,3,6,4,2.3,-3.43,-1.13,115.3,113.1,2.2,100.8,0.236,0.365,0.6,0.578,14.1,24.8,0.169,0.553,12.8,79.3,0.189,2023
11,Chicago Bulls,28,6,6,7,5,2.08,2.13,4.21,111.2,109.2,2,100.2,0.283,0.341,0.573,0.525,13.8,24.5,0.24,0.535,14.7,78.7,0.2,2023
12,Philadelphia 76ers,28.5,5,6,6,5,1.64,2.48,4.11,113.8,112.1,1.7,95.7,0.27,0.417,0.587,0.549,12.4,18.9,0.216,0.537,13.4,77.4,0.226,2023
13,Memphis Grizzlies,24.4,7,4,6,5,1.45,0.64,2.09,114.9,113.5,1.4,100.1,0.257,0.377,0.566,0.538,12.3,28.6,0.182,0.531,12.9,73.5,0.211,2023
14,Portland Trail Blazers,25.5,7,3,5,5,0.9,0.84,1.74,111.6,110.6,1,97.4,0.312,0.36,0.582,0.54,15.3,25.9,0.243,0.53,13.2,76.7,0.184,2023
15,New York Knicks,25.4,5,5,5,5,0,0.83,0.83,111.8,111.8,0,100.7,0.24,0.375,0.56,0.527,13,27.1,0.185,0.51,11.2,74.1,0.183,2023
16,Indiana Pacers,24.1,5,5,5,5,-0.9,-0.78,-1.68,115.2,116,-0.8,101.7,0.267,0.445,0.577,0.538,13.7,25.7,0.214,0.557,12.9,77.7,0.257,2023
